"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2015年12月","02000","青森県","344240",""
"2016年1月","02000","青森県","312390",""
"2016年2月","02000","青森県","341410",""
"2016年3月","02000","青森県","346700",""
"2016年4月","02000","青森県","370910",""
"2016年5月","02000","青森県","443470",""
"2016年6月","02000","青森県","433360",""
"2016年7月","02000","青森県","506760",""
"2016年8月","02000","青森県","617240",""
"2016年9月","02000","青森県","454630",""
"2016年10月","02000","青森県","500610",""
"2016年11月","02000","青森県","368740",""
"2016年12月","02000","青森県","310210",""
"2017年1月","02000","青森県","273740",""
"2017年2月","02000","青森県","293100",""
"2017年3月","02000","青森県","297210",""
"2017年4月","02000","青森県","378530",""
"2017年5月","02000","青森県","447380",""
"2017年6月","02000","青森県","391210",""
"2017年7月","02000","青森県","425050",""
"2017年8月","02000","青森県","526830",""
"2017年9月","02000","青森県","441320",""
"2017年10月","02000","青森県","470630",""
"2017年11月","02000","青森県","361910",""
"2017年12月","02000","青森県","317360",""
"2018年1月","02000","青森県","338500",""
"2018年2月","02000","青森県","332990",""
"2018年3月","02000","青森県","356310",""
"2018年4月","02000","青森県","396700",""
"2018年5月","02000","青森県","430620",""
"2018年6月","02000","青森県","435670",""
"2018年7月","02000","青森県","451650",""
"2018年8月","02000","青森県","575770",""
"2018年9月","02000","青森県","453660",""
"2018年10月","02000","青森県","529340",""
"2018年11月","02000","青森県","394630",""
"2018年12月","02000","青森県","363060",""
"2019年1月","02000","青森県","298500",""
"2019年2月","02000","青森県","306000",""
"2019年3月","02000","青森県","302740",""
"2019年4月","02000","青森県","371740",""
"2019年5月","02000","青森県","415340",""
"2019年6月","02000","青森県","389530",""
"2019年7月","02000","青森県","415040",""
"2019年8月","02000","青森県","523100",""
"2019年9月","02000","青森県","429800",""
"2019年10月","02000","青森県","479260",""
"2019年11月","02000","青森県","370380",""
"2019年12月","02000","青森県","304350",""
"2020年1月","02000","青森県","309110","速報"
"2020年2月","02000","青森県","299190","速報"
