time	country	variable	value
2010-07-01	Hong Kong	Number Of Vessel (Direct Entrance)	222
2010-07-01	Hong Kong	Net Tonnages	5868381
2010-07-01	Hong Kong	Net Tonnages (Direct Entrance)	2323657
2010-08-01	Hong Kong	Number Of Vessels	606
2010-08-01	Hong Kong	Number Of Vessel (Direct Entrance)	253
2010-08-01	Hong Kong	Net Tonnages	6110697
2010-08-01	Hong Kong	Net Tonnages (Direct Entrance)	2561570
2010-09-01	Hong Kong	Number Of Vessels	568
2010-09-01	Hong Kong	Number Of Vessel (Direct Entrance)	228
2010-09-01	Hong Kong	Net Tonnages	5426285
2010-09-01	Hong Kong	Net Tonnages (Direct Entrance)	2273199
2010-10-01	Hong Kong	Number Of Vessels	549
2010-10-01	Hong Kong	Number Of Vessel (Direct Entrance)	209
2010-10-01	Hong Kong	Net Tonnages	5314432
2010-10-01	Hong Kong	Net Tonnages (Direct Entrance)	2241754
2010-11-01	Hong Kong	Number Of Vessels	569
2010-11-01	Hong Kong	Number Of Vessel (Direct Entrance)	242
2010-11-01	Hong Kong	Net Tonnages	5438054
2010-11-01	Hong Kong	Net Tonnages (Direct Entrance)	2357788
2010-12-01	Hong Kong	Number Of Vessels	607
2010-12-01	Hong Kong	Number Of Vessel (Direct Entrance)	236
2010-12-01	Hong Kong	Net Tonnages	6198154
2010-12-01	Hong Kong	Net Tonnages (Direct Entrance)	2536277
2010-01-01	Viet Nam	Number Of Vessels	19
2010-01-01	Viet Nam	Number Of Vessel (Direct Entrance)	12
2010-01-01	Viet Nam	Net Tonnages	69848
2010-01-01	Viet Nam	Net Tonnages (Direct Entrance)	52478
2010-02-01	Viet Nam	Number Of Vessels	13
2010-02-01	Viet Nam	Number Of Vessel (Direct Entrance)	10
2010-02-01	Viet Nam	Net Tonnages	50287
2010-02-01	Viet Nam	Net Tonnages (Direct Entrance)	37345
2010-03-01	Viet Nam	Number Of Vessels	25
2010-03-01	Viet Nam	Number Of Vessel (Direct Entrance)	14
2010-03-01	Viet Nam	Net Tonnages	98595
2010-03-01	Viet Nam	Net Tonnages (Direct Entrance)	58560
2010-04-01	Viet Nam	Number Of Vessels	25
2010-04-01	Viet Nam	Number Of Vessel (Direct Entrance)	18
2010-04-01	Viet Nam	Net Tonnages	131992
2010-04-01	Viet Nam	Net Tonnages (Direct Entrance)	102598
2010-05-01	Viet Nam	Number Of Vessels	25
2010-05-01	Viet Nam	Number Of Vessel (Direct Entrance)	13
2010-05-01	Viet Nam	Net Tonnages	110527
2010-05-01	Viet Nam	Net Tonnages (Direct Entrance)	47342
2010-06-01	Viet Nam	Number Of Vessels	34
2010-06-01	Viet Nam	Number Of Vessel (Direct Entrance)	15
2010-06-01	Viet Nam	Net Tonnages	117419
2010-06-01	Viet Nam	Net Tonnages (Direct Entrance)	57378
2010-07-01	Viet Nam	Number Of Vessels	50
2010-07-01	Viet Nam	Number Of Vessel (Direct Entrance)	18
2010-07-01	Viet Nam	Net Tonnages	175851
2010-07-01	Viet Nam	Net Tonnages (Direct Entrance)	71363
2010-08-01	Viet Nam	Number Of Vessels	23
2010-08-01	Viet Nam	Number Of Vessel (Direct Entrance)	13
2010-08-01	Viet Nam	Net Tonnages	121691
2010-08-01	Viet Nam	Net Tonnages (Direct Entrance)	80534
2010-09-01	Viet Nam	Number Of Vessels	56
2010-09-01	Viet Nam	Number Of Vessel (Direct Entrance)	25
2010-09-01	Viet Nam	Net Tonnages	239708
2010-09-01	Viet Nam	Net Tonnages (Direct Entrance)	107560
2010-10-01	Viet Nam	Number Of Vessels	31
2010-10-01	Viet Nam	Number Of Vessel (Direct Entrance)	15
2010-10-01	Viet Nam	Net Tonnages	117928
2010-10-01	Viet Nam	Net Tonnages (Direct Entrance)	60549
2010-11-01	Viet Nam	Number Of Vessels	23
2010-11-01	Viet Nam	Number Of Vessel (Direct Entrance)	8
2010-11-01	Viet Nam	Net Tonnages	98254
2010-11-01	Viet Nam	Net Tonnages (Direct Entrance)	40431
2010-12-01	Viet Nam	Number Of Vessels	42
2010-12-01	Viet Nam	Number Of Vessel (Direct Entrance)	19
2010-12-01	Viet Nam	Net Tonnages	147231
2010-12-01	Viet Nam	Net Tonnages (Direct Entrance)	66811
2010-01-01	Thailand	Number Of Vessels	24
2010-01-01	Thailand	Number Of Vessel (Direct Entrance)	9
2010-01-01	Thailand	Net Tonnages	103829
2010-01-01	Thailand	Net Tonnages (Direct Entrance)	29230
2010-02-01	Thailand	Number Of Vessels	22
2010-02-01	Thailand	Number Of Vessel (Direct Entrance)	5
2010-02-01	Thailand	Net Tonnages	90729
2010-02-01	Thailand	Net Tonnages (Direct Entrance)	25476
2010-03-01	Thailand	Number Of Vessels	15
2010-03-01	Thailand	Number Of Vessel (Direct Entrance)	7
2010-03-01	Thailand	Net Tonnages	90196
2010-03-01	Thailand	Net Tonnages (Direct Entrance)	53013
2010-04-01	Thailand	Number Of Vessels	26
2010-04-01	Thailand	Number Of Vessel (Direct Entrance)	7
2010-04-01	Thailand	Net Tonnages	123850
2010-04-01	Thailand	Net Tonnages (Direct Entrance)	31307
2010-05-01	Thailand	Number Of Vessels	14
2010-05-01	Thailand	Number Of Vessel (Direct Entrance)	7
2010-05-01	Thailand	Net Tonnages	85843
2010-05-01	Thailand	Net Tonnages (Direct Entrance)	40620
2010-06-01	Thailand	Number Of Vessels	23
2010-06-01	Thailand	Number Of Vessel (Direct Entrance)	7
2010-06-01	Thailand	Net Tonnages	141983
2010-06-01	Thailand	Net Tonnages (Direct Entrance)	40085
2010-07-01	Thailand	Number Of Vessels	27
2010-07-01	Thailand	Number Of Vessel (Direct Entrance)	9
2010-07-01	Thailand	Net Tonnages	141312
2010-07-01	Thailand	Net Tonnages (Direct Entrance)	51031
2010-08-01	Thailand	Number Of Vessels	29
2010-08-01	Thailand	Number Of Vessel (Direct Entrance)	11
2010-08-01	Thailand	Net Tonnages	171756
2010-08-01	Thailand	Net Tonnages (Direct Entrance)	54379
2010-09-01	Thailand	Number Of Vessels	22
2010-09-01	Thailand	Number Of Vessel (Direct Entrance)	6
2010-09-01	Thailand	Net Tonnages	132177
2010-09-01	Thailand	Net Tonnages (Direct Entrance)	33188
2010-10-01	Thailand	Number Of Vessels	19
2010-10-01	Thailand	Number Of Vessel (Direct Entrance)	6
2010-10-01	Thailand	Net Tonnages	100367
2010-10-01	Thailand	Net Tonnages (Direct Entrance)	30329
2010-11-01	Thailand	Number Of Vessels	25
2010-11-01	Thailand	Number Of Vessel (Direct Entrance)	9
2010-11-01	Thailand	Net Tonnages	142568
2010-11-01	Thailand	Net Tonnages (Direct Entrance)	49373
2010-12-01	Thailand	Number Of Vessels	24
2010-12-01	Thailand	Number Of Vessel (Direct Entrance)	8
2010-12-01	Thailand	Net Tonnages	134038
2010-12-01	Thailand	Net Tonnages (Direct Entrance)	33764
2010-01-01	Singapore	Number Of Vessels	365
2010-01-01	Singapore	Number Of Vessel (Direct Entrance)	159
2010-01-01	Singapore	Net Tonnages	4741035
2010-01-01	Singapore	Net Tonnages (Direct Entrance)	2322019
2010-02-01	Singapore	Number Of Vessels	381
2010-02-01	Singapore	Number Of Vessel (Direct Entrance)	148
2010-02-01	Singapore	Net Tonnages	4612629
2010-02-01	Singapore	Net Tonnages (Direct Entrance)	2089148
2010-03-01	Singapore	Number Of Vessels	401
2010-03-01	Singapore	Number Of Vessel (Direct Entrance)	162
2010-03-01	Singapore	Net Tonnages	5045062
2010-03-01	Singapore	Net Tonnages (Direct Entrance)	2244706
2010-04-01	Singapore	Number Of Vessels	385
2010-04-01	Singapore	Number Of Vessel (Direct Entrance)	143
2010-04-01	Singapore	Net Tonnages	4668635
2010-04-01	Singapore	Net Tonnages (Direct Entrance)	1913332
2010-05-01	Singapore	Number Of Vessels	351
2010-05-01	Singapore	Number Of Vessel (Direct Entrance)	140
2010-05-01	Singapore	Net Tonnages	3881601
2010-05-01	Singapore	Net Tonnages (Direct Entrance)	1687501
2010-06-01	Singapore	Number Of Vessels	428
2010-06-01	Singapore	Number Of Vessel (Direct Entrance)	180
2010-06-01	Singapore	Net Tonnages	5591755
2010-06-01	Singapore	Net Tonnages (Direct Entrance)	2603570
2010-07-01	Singapore	Number Of Vessels	412
2010-07-01	Singapore	Number Of Vessel (Direct Entrance)	159
2010-07-01	Singapore	Net Tonnages	5245865
2010-07-01	Singapore	Net Tonnages (Direct Entrance)	2140414
2010-08-01	Singapore	Number Of Vessels	406
2010-08-01	Singapore	Number Of Vessel (Direct Entrance)	154
2010-08-01	Singapore	Net Tonnages	5243134
2010-08-01	Singapore	Net Tonnages (Direct Entrance)	2086387
2010-09-01	Singapore	Number Of Vessels	396
2010-09-01	Singapore	Number Of Vessel (Direct Entrance)	154
2010-09-01	Singapore	Net Tonnages	4802138
2010-09-01	Singapore	Net Tonnages (Direct Entrance)	2262076
2010-10-01	Singapore	Number Of Vessels	380
2010-10-01	Singapore	Number Of Vessel (Direct Entrance)	147
2010-10-01	Singapore	Net Tonnages	4863256
2010-10-01	Singapore	Net Tonnages (Direct Entrance)	2166861
2010-11-01	Singapore	Number Of Vessels	445
2010-11-01	Singapore	Number Of Vessel (Direct Entrance)	181
2010-11-01	Singapore	Net Tonnages	6272749
2010-11-01	Singapore	Net Tonnages (Direct Entrance)	2858342
2010-12-01	Singapore	Number Of Vessels	423
2010-12-01	Singapore	Number Of Vessel (Direct Entrance)	160
2010-12-01	Singapore	Net Tonnages	5136388
2010-12-01	Singapore	Net Tonnages (Direct Entrance)	2332047
2010-01-01	Malaysia	Number Of Vessels	52
2010-01-01	Malaysia	Number Of Vessel (Direct Entrance)	34
2010-01-01	Malaysia	Net Tonnages	763950
2010-01-01	Malaysia	Net Tonnages (Direct Entrance)	695423
2010-02-01	Malaysia	Number Of Vessels	48
2010-02-01	Malaysia	Number Of Vessel (Direct Entrance)	31
2010-02-01	Malaysia	Net Tonnages	534983
2010-02-01	Malaysia	Net Tonnages (Direct Entrance)	475287
2010-03-01	Malaysia	Number Of Vessels	62
2010-03-01	Malaysia	Number Of Vessel (Direct Entrance)	34
2010-03-01	Malaysia	Net Tonnages	753030
2010-03-01	Malaysia	Net Tonnages (Direct Entrance)	592951
2010-04-01	Malaysia	Number Of Vessels	65
2010-04-01	Malaysia	Number Of Vessel (Direct Entrance)	35
2010-04-01	Malaysia	Net Tonnages	651195
2010-04-01	Malaysia	Net Tonnages (Direct Entrance)	524965
2010-05-01	Malaysia	Number Of Vessels	70
2010-05-01	Malaysia	Number Of Vessel (Direct Entrance)	39
2010-05-01	Malaysia	Net Tonnages	762222
2010-05-01	Malaysia	Net Tonnages (Direct Entrance)	614247
2010-06-01	Malaysia	Number Of Vessels	59
2010-06-01	Malaysia	Number Of Vessel (Direct Entrance)	31
2010-06-01	Malaysia	Net Tonnages	619683
2010-06-01	Malaysia	Net Tonnages (Direct Entrance)	468263
2010-07-01	Malaysia	Number Of Vessels	68
2010-07-01	Malaysia	Number Of Vessel (Direct Entrance)	36
2010-07-01	Malaysia	Net Tonnages	743856
2010-07-01	Malaysia	Net Tonnages (Direct Entrance)	564621
2010-08-01	Malaysia	Number Of Vessels	70
2010-08-01	Malaysia	Number Of Vessel (Direct Entrance)	40
2010-08-01	Malaysia	Net Tonnages	746193
2010-08-01	Malaysia	Net Tonnages (Direct Entrance)	614164
2010-09-01	Malaysia	Number Of Vessels	72
