variable	year	city	value
Miscellaneous	2020	Aomori-shi	20559
Personal care services	2020	Aomori-shi	2746
Personal care goods	2020	Aomori-shi	4456
Personal effects	2020	Aomori-shi	592
Tobacco	2020	Aomori-shi	996
Other miscellaneous	2020	Aomori-shi	11770
Pocket money (of which, detailed uses unknown)	2020	Aomori-shi	6978
Social expenses	2020	Aomori-shi	11953
Other goods & services	2020	Aomori-shi	175
Money gifts	2020	Aomori-shi	6036
Other social expenses	2020	Aomori-shi	1035
Remittance	2020	Aomori-shi	2639
(Regrouped) Expenses for education	2020	Aomori-shi	5522
(Regrouped) Expenses for culture & recreation	2020	Aomori-shi	17377
(Regrouped) Intel exchange	2020	Aomori-shi	13757
(Regrouped) Expense (except housing)	2020	Aomori-shi	186968
(Regrouped) Sum of Goods & Services 1)	2020	Aomori-shi	196590
Goods (commodities)	2020	Aomori-shi	125711
Durable goods	2020	Aomori-shi	7766
Semi-durable goods	2020	Aomori-shi	12806
Non-durable goods	2020	Aomori-shi	105139
Services	2020	Aomori-shi	70879
Engel's coefficient (%)	2020	Aomori-shi	29.3
Distribution of households	2020	Morioka-shi	31
Num. of tabulated households	2020	Morioka-shi	101
Num. of persons per household (persons)	2020	Morioka-shi	2.04
Num. of earners per household (persons)	2020	Morioka-shi	1.08
Age of household heads (years old)	2020	Morioka-shi	53.4
Rate of owned dwellings (%)	2020	Morioka-shi	58.2
Rate of rented dwellings & land (%)	2020	Morioka-shi	39.7
Consumption expenditures	2020	Morioka-shi	210776
Food	2020	Morioka-shi	54043
Cereals	2020	Morioka-shi	4218
Rice	2020	Morioka-shi	1056
Bread	2020	Morioka-shi	1622
Noodles	2020	Morioka-shi	1185
Other cereals	2020	Morioka-shi	354
Fish & shellfish	2020	Morioka-shi	3847
Raw fish & shellfish	2020	Morioka-shi	2008
Salted & dried fish	2020	Morioka-shi	860
Fish-paste products	2020	Morioka-shi	359
Other processed fish	2020	Morioka-shi	620
Meat	2020	Morioka-shi	4025
Raw meat	2020	Morioka-shi	3042
Processed meat	2020	Morioka-shi	983
Dairy products & eggs	2020	Morioka-shi	3072
Fresh milk	2020	Morioka-shi	902
Dairy products	2020	Morioka-shi	1710
Eggs	2020	Morioka-shi	460
Vegetables & seaweeds	2020	Morioka-shi	6462
Fresh vegetables	2020	Morioka-shi	4099
Dried vegetables & seaweeds	2020	Morioka-shi	587
Soybean products	2020	Morioka-shi	913
Other processed vegetables & seaweeds	2020	Morioka-shi	863
Fruits	2020	Morioka-shi	1981
Fresh fruits	2020	Morioka-shi	1831
Processed fruits	2020	Morioka-shi	149
Oils, fats & seasonings	2020	Morioka-shi	2690
Oils & fats	2020	Morioka-shi	234
Seasonings	2020	Morioka-shi	2456
Cakes & candies	2020	Morioka-shi	4532
Cooked food	2020	Morioka-shi	8520
Cooked food with rice, bread or noodles	2020	Morioka-shi	3873
Other cooked food	2020	Morioka-shi	4647
Beverages	2020	Morioka-shi	3910
Tea	2020	Morioka-shi	721
Coffee & cocoa	2020	Morioka-shi	810
Other beverages	2020	Morioka-shi	2379
Alcoholic beverages	2020	Morioka-shi	2446
Meals outside the home	2020	Morioka-shi	8340
Eating out	2020	Morioka-shi	7961
School lunch	2020	Morioka-shi	379
Charges for board	2020	Morioka-shi	0
Housing	2020	Morioka-shi	26134
Rents for dwelling & land	2020	Morioka-shi	19001
Repairs & maintenance	2020	Morioka-shi	7133
Tools & materials for repairs & maintenance	2020	Morioka-shi	2570
Service charges for repairs & maintenance	2020	Morioka-shi	4563
Fuel, light & water charges	2020	Morioka-shi	21996
Electricity	2020	Morioka-shi	9179
Gas	2020	Morioka-shi	4918
Other fuel & light	2020	Morioka-shi	3109
Water & sewerage charges	2020	Morioka-shi	4790
Furniture & household utensils	2020	Morioka-shi	7985
Household durable goods	2020	Morioka-shi	2572
Durable goods assisting housework	2020	Morioka-shi	1633
Heating & cooling appliances	2020	Morioka-shi	706
General furniture	2020	Morioka-shi	233
Interior furnishings & decorations	2020	Morioka-shi	745
Bedding	2020	Morioka-shi	357
Domestic utensils	2020	Morioka-shi	1543
Domestic non-durable goods	2020	Morioka-shi	2332
Domestic services	2020	Morioka-shi	436
Clothing & footwear	2020	Morioka-shi	7631
Japanese clothing	2020	Morioka-shi	8
