(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2018,230,159,117,6369927,4591822,15,8,429512,256097,14,10,669773,431446,14,11,590893,408132,11,10,435770,410524,9,6,379034,236926,14,10,515663,360163,14,11,533539,455173,14,11,667620,543337,11,10,394468,361644,14,10,616260,386111,15,10,633558,410072,14,10,503837,332197
2018,233,1168,484,12535448,7234914,92,34,1071047,580124,98,40,1410844,785777,86,40,986498,635012,84,32,821973,487511,76,34,1055231,618728,89,38,996999,623102,86,33,964177,582324,101,43,1063979,630024,107,41,825829,391113,103,45,960597,582367,132,57,1358548,739902,114,47,1019726,578930
2018,234,3,2,130743,78978,1,1,27213,27213,0,0,0,0,2,1,103530,51765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,237,1,1,5869,5869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5869,5869,0,0,0,0
2018,241,5,5,67987,67987,1,1,15286,15286,1,1,13772,13772,1,1,13772,13772,0,0,0,0,1,1,9871,9871,1,1,15286,15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,243,1,1,59338,59338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,59338,59338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,247,1,1,12060,12060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12060,12060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,304,288,203,6388890,4282439,25,19,472503,382162,19,17,400719,365657,33,23,663921,482858,22,18,471814,401219,17,17,374532,374532,27,20,545156,390425,22,16,456832,339298,26,14,628859,324127,16,11,422066,227254,26,16,665003,343546,25,16,619659,350138,30,16,667826,301223
2018,308,4021,1962,5605397,2898580,324,159,433436,214012,329,155,487746,241529,316,157,450607,217172,342,168,470934,238411,331,177,444447,256125,339,170,446152,237363,336,160,460747,236170,316,160,447615,254936,346,168,451842,241254,389,176,532384,268346,339,160,507335,245922,314,152,472152,247340
2018,312,30151,13510,353596179,160808578,2518,1182,29492699,13873884,2482,1115,28802726,13335910,2547,1167,29842900,13925417,2478,1083,29898083,13348367,2499,1149,28536643,13134698,2483,1119,28757191,12683714,2460,1102,28656261,12900165,2481,1094,29177796,13158307,2405,1078,28144248,12810394,2645,1164,31481493,14122699,2615,1164,31063798,14297882,2538,1093,29742341,13217141
